table_id,table_title,variable_type,variable_value,method,mean_asr,mean_ap50,successful,total
1,俯仰角 pitch,pitch,pitch5,active,0.2497,0.5905,734,2940
1,俯仰角 pitch,pitch,pitch10,active,0.2959,0.5139,870,2940
1,俯仰角 pitch,pitch,pitch20,active,0.549,0.2993,1614,2940
1,俯仰角 pitch,pitch,pitch30,active,0.7761,0.0905,2184,2814
1,俯仰角 pitch,pitch,pitch40,active,0.9021,0.0761,2728,3024
1,俯仰角 pitch,pitch,pitch50,active,0.9673,0.1794,2925,3024
1,俯仰角 pitch,pitch,pitch60,active,0.9894,0.2181,2992,3024
1,俯仰角 pitch,pitch,pitch70,active,0.996,0.1488,3012,3024
1,俯仰角 pitch,pitch,pitch80,active,0.9997,0.0909,3023,3024
1,俯仰角 pitch,pitch,pitch89,active,0.9997,0.0598,3023,3024
1,俯仰角 pitch,pitch,pitch5,dta,0.3075,0.543,904,2940
1,俯仰角 pitch,pitch,pitch10,dta,0.2469,0.557,726,2940
1,俯仰角 pitch,pitch,pitch20,dta,0.3405,0.4411,1001,2940
1,俯仰角 pitch,pitch,pitch30,dta,0.5345,0.2993,1504,2814
1,俯仰角 pitch,pitch,pitch40,dta,0.6981,0.2951,2111,3024
1,俯仰角 pitch,pitch,pitch50,dta,0.8512,0.4268,2574,3024
1,俯仰角 pitch,pitch,pitch60,dta,0.9461,0.4032,2861,3024
1,俯仰角 pitch,pitch,pitch70,dta,0.9841,0.3061,2976,3024
1,俯仰角 pitch,pitch,pitch80,dta,0.9974,0.2182,3016,3024
1,俯仰角 pitch,pitch,pitch89,dta,0.999,0.1933,3014,3017
1,俯仰角 pitch,pitch,pitch5,fca,0.0976,0.7486,287,2940
1,俯仰角 pitch,pitch,pitch10,fca,0.065,0.7558,191,2940
1,俯仰角 pitch,pitch,pitch20,fca,0.0949,0.6985,279,2940
1,俯仰角 pitch,pitch,pitch30,fca,0.2527,0.5606,711,2814
1,俯仰角 pitch,pitch,pitch40,fca,0.4663,0.5057,1410,3024
1,俯仰角 pitch,pitch,pitch50,fca,0.671,0.5514,2029,3024
1,俯仰角 pitch,pitch,pitch60,fca,0.8287,0.4768,2506,3024
1,俯仰角 pitch,pitch,pitch70,fca,0.9071,0.3961,2743,3024
