table_id,table_title,variable_type,variable_value,method,mean_asr,mean_ap50,successful,total
2,距离 distance,distance,distance5,active,0.781,0.2234,5904,7560
2,距离 distance,distance,distance10,active,0.7524,0.2251,5688,7560
2,距离 distance,distance,distance15,active,0.7741,0.2022,5690,7350
2,距离 distance,distance,distance20,active,0.7968,0.1802,5823,7308
2,距离 distance,distance,distance5,dta,0.8534,0.1585,6452,7560
2,距离 distance,distance,distance10,dta,0.6264,0.3347,4731,7553
2,距离 distance,distance,distance15,dta,0.6223,0.331,4574,7350
2,距离 distance,distance,distance20,dta,0.6746,0.2779,4930,7308
2,距离 distance,distance,distance5,fca,0.6353,0.381,4803,7560
2,距离 distance,distance,distance10,fca,0.5049,0.4616,3817,7560
2,距离 distance,distance,distance15,fca,0.5061,0.4528,3720,7350
2,距离 distance,distance,distance20,fca,0.5089,0.4328,3719,7308
2,距离 distance,distance,distance5,ori,0.4903,0.5304,3707,7560
2,距离 distance,distance,distance10,ori,0.3996,0.5939,3021,7560
2,距离 distance,distance,distance15,ori,0.4011,0.5735,2948,7350
2,距离 distance,distance,distance20,ori,0.3838,0.5489,2805,7308
2,距离 distance,distance,distance5,rauca,0.8269,0.1581,6251,7560
2,距离 distance,distance,distance10,rauca,0.7808,0.2023,5903,7560
2,距离 distance,distance,distance15,rauca,0.7995,0.1798,5876,7350
2,距离 distance,distance,distance20,rauca,0.7989,0.1881,5838,7308
2,距离 distance,distance,distance5,raucae2e,0.9038,0.1422,6833,7560
2,距离 distance,distance,distance10,raucae2e,0.8661,0.0965,6548,7560
2,距离 distance,distance,distance15,raucae2e,0.8927,0.1244,6561,7350
2,距离 distance,distance,distance20,raucae2e,0.9059,0.0752,6620,7308
